local_law_id,name,address,type_of_law_enforcement
1007057,HARPER POLICE DEPARTMENT,201 WEST MAIN STREET,LOCAL POLICE DEPARTMENT
1005008,POWER COUNTY SHERIFFS OFFICE / POWER COUNTY JAIL,550 GIFFORD AVENUE,SHERIFF'S OFFICE
1007312,STAFFORD POLICE DEPARTMENT,112 WEST BROADWAY STREET,LOCAL POLICE DEPARTMENT
1009394,EATON COUNTY SHERIFFS OFFICE / EATON COUNTY JAIL,1025 INDEPENDENCE BOULEVARD,SHERIFF'S OFFICE
1006976,COMANCHE COUNTY SHERIFFS DEPARTMENT,408 NORTH CENTRAL AVENUE,SHERIFF'S OFFICE
1008909,DORCHESTER COUNTY SHERIFF / DORCHESTER COUNTY JAIL,829 FIELDCREST ROAD,SHERIFF'S OFFICE
1007061,HAYS POLICE DEPARTMENT,105 WEST 12TH STREET,LOCAL POLICE DEPARTMENT
1005110,PAYETTE COUNTY SHERIFFS OFFICE / PAYETTE COUNTY JAIL,1130 3RD AVENUE NORTH,SHERIFF'S OFFICE
1004563,KAUAI POLICE DEPARTMENT - LIHUE DIVISION,"3990 KAANA STREET, SUITE 200",LOCAL POLICE DEPARTMENT
1005624,HILLSDALE POLICE DEPARTMENT,415 MAIN STREET,LOCAL POLICE DEPARTMENT
1005862,NEWTON POLICE DEPARTMENT,108 NORTH VAN BUREN STREET,LOCAL POLICE DEPARTMENT
1005241,BETHANY POLICE DEPARTMENT,201 WEST MAIN STREET,LOCAL POLICE DEPARTMENT
1006169,VANDALIA POLICE DEPARTMENT,221 SOUTH 5TH STREET,LOCAL POLICE DEPARTMENT
1007261,PITTSBURG STATE UNIVERSITY POLICE AND PARKING DEPARTMENT,1501 SOUTH JOPLIN AVENUE,SPECIAL JURISDICTION
1009861,SAGINAW TOWNSHIP POLICE DEPARTMENT,4930 SHATTUCK ROAD,LOCAL POLICE DEPARTMENT
1009366,BURTON POLICE DEPARTMENT,4090 MANOR DRIVE,LOCAL POLICE DEPARTMENT
1009825,POTTERVILLE POLICE DEPARTMENT,319 NORTH NELSON STREET,LOCAL POLICE DEPARTMENT
1009316,BATH TOWNSHIP POLICE DEPARTMENT,14480 WEBSTER ROAD,LOCAL POLICE DEPARTMENT
1009788,OLIVET POLICE DEPARTMENT,106 SOUTH MAIN STREET,LOCAL POLICE DEPARTMENT
1009857,BUENA VISTA TOWNSHIP POLICE DEPARTMENT,3438 GENEI STREET,LOCAL POLICE DEPARTMENT
1009332,BENTON HARBOR POLICE DEPARTMENT,200 EAST WALL STREET,LOCAL POLICE DEPARTMENT
1009968,NORTHFIELD TOWNSHIP POLICE DEPARTMENT,8350 MAIN STREET,LOCAL POLICE DEPARTMENT
1006121,WAUBONSEE COMMUNITY COLLEGE POLICE,STATE ROUTE 47 AT WAUBONSEE DRIVE,SPECIAL JURISDICTION
1009464,EAST JORDAN POLICE DEPARTMENT,326 MAIN STREET,LOCAL POLICE DEPARTMENT
1009510,FRANKFORT POLICE DEPARTMENT,412 MAIN STREET,LOCAL POLICE DEPARTMENT
1009936,UNION CITY POLICE DEPARTMENT,123 HAMMOND STREET,LOCAL POLICE DEPARTMENT
1009409,COLDWATER POLICE DEPARTMENT,57 DIVISION STREET,LOCAL POLICE DEPARTMENT
1009586,HOMER POLICE DEPARTMENT,130 EAST MAIN STREET,LOCAL POLICE DEPARTMENT
1009333,BENTON TOWNSHIP POLICE DEPARTMENT,1725 TERRITORIAL ROAD,LOCAL POLICE DEPARTMENT
1006010,ROCK VALLEY COLLEGE POLICE DEPARTMENT,3301 NORTH MULFORD ROAD,SPECIAL JURISDICTION
1009951,WATERVLIET POLICE DEPARTMENT,158 WEST PLEASANT STREET,LOCAL POLICE DEPARTMENT
1009392,CHARLEVOIX POLICE DEPARTMENT,210 STATE STREET,LOCAL POLICE DEPARTMENT
1009389,CENTRAL LAKE POLICE DEPARTMENT,1622 NORTH STATE HIGHWAY M-88,LOCAL POLICE DEPARTMENT
1009336,BERRIEN SPRINGS ORONOKO TOWNSHIP POLICE DEPARTMENT,4411 EAST SNOW ROAD,LOCAL POLICE DEPARTMENT
1005136,SALMON POLICE DEPARTMENT,200 MAIN STREET,LOCAL POLICE DEPARTMENT
1009294,CITY OF ANN ARBOR POLICE DEPARTMENT,100 NORTH FIFTH AVENUE,LOCAL POLICE DEPARTMENT
1009774,NILES CITY POLICE DEPARTMENT,1600 SILVERBROOK AVENUE,LOCAL POLICE DEPARTMENT
1007588,HINDMAN POLICE DEPARTMENT,10 PROFESSOR CLARK CIRCLE,LOCAL POLICE DEPARTMENT
1009434,BARRY TOWNSHIP POLICE DEPARTMENT,201 EAST ORCHARD STREET,LOCAL POLICE DEPARTMENT
1007494,BOYLE COUNTY SHERIFFS OFFICE,321 WEST MAIN STREET,SHERIFF'S OFFICE
1009459,DOWAGIAC CITY POLICE DEPARTMENT,241 SOUTH FRONT STREET,LOCAL POLICE DEPARTMENT
1005042,ADAMS COUNTY SHERIFFS OFFICE / ADAMS COUNTY JAIL,201 INDUSTRIAL AVENUE,SHERIFF'S OFFICE
1005052,GARDEN CITY POLICE DEPARTMENT,301 EAST 50TH STREET,LOCAL POLICE DEPARTMENT
1006477,GREENDALE POLICE DEPARTMENT,480 LUDLOW STREET,LOCAL POLICE DEPARTMENT
1006499,HAUBSTADT POLICE DEPARTMENT,103 SOUTH MAIN STREET,LOCAL POLICE DEPARTMENT
1006277,ATTICA POLICE DEPARTMENT,200 MCDONALD STREET,LOCAL POLICE DEPARTMENT
1005009,BUTTE COUNTY SHERIFFS OFFICE / BUTTE COUNTY JAIL,256 WEST GRAND AVENUE,SHERIFF'S OFFICE
1005499,WOODFORD COUNTY SHERIFF / WOODFORD COUNTY JAIL,111 EAST COURT STREET,SHERIFF'S OFFICE
1007329,KANSAS HIGHWAY PATROL - HEADQUARTERS,122 SOUTHWEST SEVENTH STREET,PRIMARY STATE AGENCY
1005050,FILER POLICE DEPARTMENT,300 MAIN STREET,LOCAL POLICE DEPARTMENT
1005841,JACKSON COUNTY SHERIFFS DEPARTMENT / JACKSON COUNTY JAIL,1001 MULBERRY STREET,SHERIFF'S OFFICE
1006430,FERDINAND POLICE DEPARTMENT,243 W 10TH ST,LOCAL POLICE DEPARTMENT
1009000,CHARLES COUNTY SHERIFFS OFFICE - HEADQUARTERS,6915 CRAIN HIGHWAY,SHERIFF'S OFFICE
1006097,SANGAMON COUNTY SHERIFFS OFFICE / SANGAMON COUNTY JAIL,1 SHERIFFS PLAZA,SHERIFF'S OFFICE
1005561,COLLEGE OF DUPAGE POLICE DEPARTMENT / PUBLIC SAFETY,425 FAWELL BOULEVARD,SPECIAL JURISDICTION
1005816,WHITESIDE COUNTY SHERIFFS OFFICE,400 NORTH CHERRY STREET,SHERIFF'S OFFICE
1005754,WILLIAMSON COUNTY SHERIFF DEPARTMENT / WILLIAMSON COUNTY JAIL,200 WEST JEFFERSON STREET,SHERIFF'S OFFICE
1005295,MACOUPIN COUNTY SHERIFFS DEPARTMENT / MACOUPIN COUNTY JAIL,215 SOUTH EAST STREET,SHERIFF'S OFFICE
1005331,COLES COUNTY SHERIFFS OFFICE / COLES COUNTY JAIL,701 SEVENTH STREET,SHERIFF'S OFFICE
1005297,CLINTON COUNTY SHERIFFS DEPARTMENT / CLINTON COUNTY JAIL,810 FRANKLIN STREET,SHERIFF'S OFFICE
1005165,EDWARDS COUNTY SHERIFFS DEPARTMENT / EDWARDS COUNTY JAIL,"50 EAST MAIN STREET, SUITE 1",SHERIFF'S OFFICE
1006731,MARSHALL COUNTY SHERIFFS DEPARTMENT,1400 PIONEER DRIVE,SHERIFF'S OFFICE
1006559,KENTLAND POLICE DEPARTMENT,300 NORTH 3RD STREET,LOCAL POLICE DEPARTMENT
1006358,CLINTON CITY POLICE DEPARTMENT,259 VINE STREET,LOCAL POLICE DEPARTMENT
1006785,SHELBURN TOWN MARSHAL,25 NORTH RAILROAD STREET,CONSTABLE/MARSHAL
1006771,SALEM POLICE DEPARTMENT,38 PUBLIC SQUARE,LOCAL POLICE DEPARTMENT
1009999,ANNANDALE POLICE DEPARTMENT,30 CEDAR STREET EAST,LOCAL POLICE DEPARTMENT
1009984,ADA POLICE DEPARTMENT,410 WEST MAIN STREET,LOCAL POLICE DEPARTMENT
1006560,NEWTON COUNTY SHERIFFS DEPARTMENT / NEWTON COUNTY JAIL,304 EAST SEYMOUR STREET,SHERIFF'S OFFICE
1006835,PORTER COUNTY SHERIFFS DEPARTMENT / PORTER COUNTY JAIL,2755 STATE ROUTE 49,SHERIFF'S OFFICE
1006349,CHURUBUSCO POLICE DEPARTMENT,530 S MAIN ST,LOCAL POLICE DEPARTMENT
1006748,RICHMOND POLICE DEPARTMENT,50 NORTH FIFTH STREET,LOCAL POLICE DEPARTMENT
1006675,HENRY COUNTY SHERIFFS OFFICE / HENRY COUNTY JAIL,127 NORTH 12TH STREET,SHERIFF'S OFFICE
1006271,ANGOLA CITY POLICE DEPARTMENT,202 WEST GILMORE STREET,LOCAL POLICE DEPARTMENT
1006272,STEUBEN COUNTY SHERIFF DEPARTMENT / STEUBEN COUNTY JAIL,206 EAST GALE STREET,SHERIFF'S OFFICE
1006773,SANTA CLAUS POLICE DEPARTMENT,90 NORTH HOLIDAY BOULEVARD,LOCAL POLICE DEPARTMENT
1006707,OSGOOD POLICE DEPARTMENT,147 WEST RIPLEY STREET,LOCAL POLICE DEPARTMENT
1006732,PLYMOUTH POLICE DEPARTMENT,215 WEST WASHINGTON STREET,LOCAL POLICE DEPARTMENT
1006799,SOUTH BEND POLICE DEPARTMENT,701 WEST SAMPLE STREET,LOCAL POLICE DEPARTMENT
1006826,TIPTON COUNTY SHERIFF DEPARTMENT / TIPTON COUNTY JAIL,121 WEST MADISON STREET,SHERIFF'S OFFICE
1006868,WEST TERRE HAUTE POLICE DEPARTMENT,500 WEST NATIONAL AVENUE,LOCAL POLICE DEPARTMENT
1006881,WINAMAC CITY POLICE DEPARTMENT,623 WEST 11TH STREET,LOCAL POLICE DEPARTMENT
1006613,JEFFERSON COUNTY SHERIFFS DEPARTMENT / JEFFERSON COUNTY JAIL,317 SOUTH WALNUT STREET,SHERIFF'S OFFICE
1006558,KENDALLVILLE POLICE DEPARTMENT,234 SOUTH MAIN STREET,LOCAL POLICE DEPARTMENT
1006714,PAOLI POLICE DEPARTMENT,110 N GOSPEL ST,LOCAL POLICE DEPARTMENT
1006333,PERRY COUNTY SHERIFF / PERRY COUNTY JAIL,119 SOUTH 7TH STREET,SHERIFF'S OFFICE
1006455,FRENCH LICK POLICE DEPARTMENT,8671 WEST MAIN STREET,LOCAL POLICE DEPARTMENT
1006485,GREENWOOD POLICE DEPARTMENT,186 SURINA WAY,LOCAL POLICE DEPARTMENT
1006627,MENTONE POLICE DEPARTMENT,201 WEST MAIN STREET,LOCAL POLICE DEPARTMENT
1006451,JOHNSON COUNTY SHERIFF DEPARTMENT / JOHNSON COUNTY JAIL,1091 HOSPITAL ROAD,SHERIFF'S OFFICE
1006735,PORTER POLICE DEPARTMENT,50 FRANCIS STREET,LOCAL POLICE DEPARTMENT
1006738,POSEYVILLE POLICE DEPARTMENT,91 EAST CYNTHIANA ROAD,LOCAL POLICE DEPARTMENT
1006750,RIDGEVILLE POLICE DEPARTMENT,106 SOUTH WALNUT STREET,LOCAL POLICE DEPARTMENT
1006814,SWAYZEE POLICE DEPARTMENT,213 SOUTH WASHINGTON STREET,LOCAL POLICE DEPARTMENT
1006580,LAFAYETTE POLICE DEPARTMENT,20 NORTH 6TH STREET,LOCAL POLICE DEPARTMENT
1009993,FREEBORN COUNTY SHERIFFS OFFICE / FREEBORN COUNTY DETENTION CENTER,"411 SOUTH BROADWAY AVENUE, FREEBORN COUNTY GOVERNMENT CENTER",SHERIFF'S OFFICE
1009990,AKELEY POLICE DEPARTMENT,25 BROADWAY STREET,LOCAL POLICE DEPARTMENT
1006758,SPENCER COUNTY SHERIFFS DEPARTMENT / SPENCER COUNTY JAIL,120 NORTH 2ND STREET,SHERIFF'S OFFICE
1006389,DALE POLICE DEPARTMENT,103 SOUTH WALLACE STREET,LOCAL POLICE DEPARTMENT
1006653,MOORESVILLE POLICE DEPARTMENT,104 WEST MAIN STREET,LOCAL POLICE DEPARTMENT
1006833,UPLAND POLICE DEPARTMENT,63 EAST WASHINGTON STREET,LOCAL POLICE DEPARTMENT
1006702,OOLITIC POLICE DEPARTMENT,109 MAIN STREET,LOCAL POLICE DEPARTMENT
1006443,FOUNTAIN CITY POLICE DEPARTMENT,312 WEST MAIN STREET,LOCAL POLICE DEPARTMENT
1006606,LOOGOOTEE POLICE DEPARTMENT,401 NORTH JOHN F KENNEDY AVENUE,LOCAL POLICE DEPARTMENT
1006757,ROCKPORT POLICE DEPARTMENT,426 MAIN STREET,LOCAL POLICE DEPARTMENT
1006776,SCOTT COUNTY SHERIFFS DEPARTMENT / SCOTT COUNTY JAIL,111 SOUTH FIRST STREET,SHERIFF'S OFFICE
1009986,ADAMS POLICE DEPARTMENT,303 WEST MAIN STREET,LOCAL POLICE DEPARTMENT
1006648,MONTICELLO POLICE DEPARTMENT,229 NORTH MAIN STREET,LOCAL POLICE DEPARTMENT
1006862,WEST BADEN POLICE DEPARTMENT,8361 WEST STATE ROAD 56,LOCAL POLICE DEPARTMENT
1005426,MACON COUNTY SHERIFFS OFFICE / MACON COUNTY JAIL,333 SOUTH FRANKLIN STREET,SHERIFF'S OFFICE
1009246,OXFORD COUNTY SHERIFFS DEPARTMENT / OXFORD COUNTY JAIL,26 WESTERN AVENUE,SHERIFF'S OFFICE
1005834,MOUNT STERLING POLICE DEPARTMENT,145 WEST MAIN STREET,LOCAL POLICE DEPARTMENT
1005988,RIDGE FARM POLICE DEPARTMENT,8 WEST OWEN STREET,LOCAL POLICE DEPARTMENT
1009135,BETHEL POLICE DEPARTMENT,19 MAIN STREET,LOCAL POLICE DEPARTMENT
1007798,ALLEN COUNTY SHERIFFS OFFICE,194 WEST WOOD STREET,SHERIFF'S OFFICE
1005743,MALTA POLICE DEPT,120 S. 3RD,LOCAL POLICE DEPARTMENT
1005713,LOGAN COUNTY SHERIFF'S OFFICE,601 BROADWAY ST,SHERIFF'S OFFICE
1006574,LAFONTAINE POLICE,22 WEST BRANSON STREET,LOCAL POLICE DEPARTMENT
1007812,WASHINGTON COUNTY SHERIFF'S OFFICE,124 EAST MAIN ST.,SHERIFF'S OFFICE
1009901,SPRING ARBOR TOWNSHIP POLICE DEPARTMENT,107 TEFT RD,LOCAL POLICE DEPARTMENT
1009890,SHELBY POLICE DEPARTMENT,189 MAPLE STREET SUITE B,LOCAL POLICE DEPARTMENT
1005035,KOOTENAI COUNTY SHERIFF'S OFFICE,5500 N GOVERNMENT WAY,SHERIFF'S OFFICE
1006247,WORDEN POLICE DEPT.,115 WEST WALL ST.,LOCAL POLICE DEPARTMENT
1005291,CARBONDALE POLICE DEPT,610 E COLLEGE STREET,LOCAL POLICE DEPARTMENT
1004653,CLINTON POLICE DEPARTMENT,113 6TH AVENUE SOUTH,LOCAL POLICE DEPARTMENT
1004696,ASBURY POLICE DEPARTMENT,4985 ASBURY ROAD,LOCAL POLICE DEPARTMENT
1004721,EXIRA POLICE DEPARTMENT,108 EAST WASHINGTON STREET,LOCAL POLICE DEPARTMENT
1004823,MARCUS POLICE DEPARTMENT,222 NORTH MAIN STREET,LOCAL POLICE DEPARTMENT
1004927,SHEFFIELD POLICE DEPARTMENT,110 SOUTH 3RD STREET,LOCAL POLICE DEPARTMENT
1004646,PAGE COUNTY SHERIFF / PAGE COUNTY JAIL,323 NORTH 15TH STREET,SHERIFF'S OFFICE
1004616,BUFFALO CENTER CITY POLICE DEPARTMENT,416 1ST AVENUE,LOCAL POLICE DEPARTMENT
1004831,MASON CITY POLICE DEPARTMENT,78 SOUTH GEORGIA AVENUE,LOCAL POLICE DEPARTMENT
1001317,PIMA POLICE DEPARTMENT,136 WEST CENTER STREET,LOCAL POLICE DEPARTMENT
1001200,CASA GRANDE POLICE DEPARTMENT,520 NORTH MARSHALL STREET,LOCAL POLICE DEPARTMENT
1001354,SUPERIOR POLICE DEPARTMENT,734 WEST MAIN STREET,LOCAL POLICE DEPARTMENT
1001239,GLOBE POLICE DEPARTMENT,175 NORTH PINE STREET,LOCAL POLICE DEPARTMENT
1003777,AUBURN POLICE DEPARTMENT,1361 4TH AVENUE,LOCAL POLICE DEPARTMENT
1003953,DALTON POLICE DEPARTMENT,301 JONES STREET,LOCAL POLICE DEPARTMENT
1004352,FLOYD COUNTY POLICE DEPARTMENT,5 GOVERNMENT PLAZA,LOCAL POLICE DEPARTMENT
1004475,UNION POINT POLICE DEPARTMENT,107 SCOTT STREET,LOCAL POLICE DEPARTMENT
1003892,HAGAN POLICE DEPARTMENT,300 TATTNALL STREET,LOCAL POLICE DEPARTMENT
1004417,STONE MOUNTAIN POLICE DEPARTMENT,922 MAIN STREET,LOCAL POLICE DEPARTMENT
1004206,MADISON POLICE DEPARTMENT,118 NORTH MAIN STREET,LOCAL POLICE DEPARTMENT
1004045,GAINESVILLE POLICE DEPARTMENT,545 NW 8TH AVE,LOCAL POLICE DEPARTMENT
1004427,CITY OF SYLVANIA POLICE DEPARTMENT,"216 MIMS ROAD, DEPARTMENT OF PUBLIC SAFETY BUILDING",LOCAL POLICE DEPARTMENT
1004255,MONTEZUMA POLICE DEPARTMENT,408 SOUTH DOOLY STREET,LOCAL POLICE DEPARTMENT
1003798,BARWICK POLICE DEPARTMENT,236 EAST MAIN STREET,LOCAL POLICE DEPARTMENT
1004111,IRWINTON POLICE DEPARTMENT,109 EAST MAIN STREET,LOCAL POLICE DEPARTMENT
1004509,WHITE POLICE DEPARTMENT,19 WEST ROCKY STREET NORTHEAST,LOCAL POLICE DEPARTMENT
1003689,ADAIRSVILLE POLICE DEPARTMENT,100 PUBLIC SQUARE,LOCAL POLICE DEPARTMENT
1003992,DULUTH POLICE DEPARTMENT,3276 BUFORD HIGHWAY NORTHWEST,LOCAL POLICE DEPARTMENT
1004422,SUWANEE POLICE DEPARTMENT,373 UNITED STATES HIGHWAY 23,LOCAL POLICE DEPARTMENT
1003848,CAMILLA POLICE DEPARTMENT,80 WEST BROAD STREET,LOCAL POLICE DEPARTMENT
1004331,REMERTON POLICE DEPARTMENT,1759 POPLAR STREET,LOCAL POLICE DEPARTMENT
1004287,OAKWOOD POLICE DEPARTMENT,4009 RAILROAD STREET,LOCAL POLICE DEPARTMENT
1004065,GREENSBORO POLICE DEPARTMENT,1141 SILOAM ROAD,LOCAL POLICE DEPARTMENT
1008254,SICILY ISLAND POLICE DEPARTMENT,101 SICILY AVENUE,LOCAL POLICE DEPARTMENT
1008002,GILBERT POLICE DEPARTMENT,7564 GILBERT STREET,LOCAL POLICE DEPARTMENT
1007909,BERNICE POLICE DEPARTMENT,424 EAST 4TH STREET,LOCAL POLICE DEPARTMENT
1007968,DUBACH POLICE DEPARTMENT,7833 ANNIE LEE STREET,LOCAL POLICE DEPARTMENT
1008065,KROTZ SPRINGS POLICE DEPARTMENT,224 MAIN STREET,LOCAL POLICE DEPARTMENT
1008178,OIL CITY POLICE DEPARTMENT,202 ALLEN STREET,LOCAL POLICE DEPARTMENT
1008206,RAYNE POLICE DEPARTMENT / RAYNE CITY JAIL,200 OAK STREET,LOCAL POLICE DEPARTMENT
1007889,BASTROP POLICE DEPARTMENT,202 EAST JEFFERSON AVENUE,LOCAL POLICE DEPARTMENT
1008207,RAYVILLE POLICE DEPARTMENT,900 HARRISON STREET,LOCAL POLICE DEPARTMENT
1007910,BERWICK POLICE DEPARTMENT,400 CANTON STREET,LOCAL POLICE DEPARTMENT
1008293,WESTWEGO POLICE DEPARTMENT,417 AVENUE A,LOCAL POLICE DEPARTMENT
1007878,ARCADIA POLICE DEPARTMENT,1819 SOUTH RAILROAD AVENUE,LOCAL POLICE DEPARTMENT
1007958,DENHAM SPRINGS POLICE DEPARTMENT,447 LAMM STREET,LOCAL POLICE DEPARTMENT
1008136,MORSE POLICE DEPARTMENT,232 JULES AVENUE,LOCAL POLICE DEPARTMENT
1008010,GRAND COTEAU POLICE DEPARTMENT,438 EAST MARTIN LUTHER KING JUNIOR DRIVE,LOCAL POLICE DEPARTMENT
1007881,ASHLAND POLICE DEPARTMENT,2085 STATE HIGHWAY 155,LOCAL POLICE DEPARTMENT
1007944,CONVERSE POLICE DEPARTMENT,209 WEST PORT ARTHUR AVENUE,LOCAL POLICE DEPARTMENT
1008297,WINNFIELD POLICE DEPARTMENT,405 S JONES ST,LOCAL POLICE DEPARTMENT
1008097,MADISONVILLE POLICE DEPARTMENT,805 MAIN STREET,LOCAL POLICE DEPARTMENT
1008034,HESSMER POLICE DEPARTMENT,4142 BORDELON STREET,LOCAL POLICE DEPARTMENT
1008204,QUITMAN POLICE DEPARTMENT,8255 QUITMAN HIGHWAY,LOCAL POLICE DEPARTMENT
1008186,PINEVILLE POLICE DEPARTMENT,910 MAIN STREET,LOCAL POLICE DEPARTMENT
1007954,CULLEN POLICE DEPARTMENT,403 COYLE AVENUE,LOCAL POLICE DEPARTMENT
1007928,CHATAIGNIER POLICE DEPARTMENT,226 MARTIN LUTHER KING DRIVE,LOCAL POLICE DEPARTMENT
1008277,TULLOS POLICE DEPARTMENT,9887 SOUTH MAIN STREET,LOCAL POLICE DEPARTMENT
1008289,WATERPROOF POLICE DEPARTMENT,503 MAIN STREET,LOCAL POLICE DEPARTMENT
1007923,CAMPTI POLICE DEPARTMENT,218 EDENBORN STREET,LOCAL POLICE DEPARTMENT
1007990,FOLSOM POLICE DEPARTMENT,82341 RAILROAD AVENUE,LOCAL POLICE DEPARTMENT
1001669,GALT POLICE DEPARTMENT,455 INDUSTRIAL DRIVE,LOCAL POLICE DEPARTMENT
1001534,CLEARLAKE POLICE DEPARTMENT,14050 OLYMPIC DRIVE,LOCAL POLICE DEPARTMENT
1001774,LAKEPORT POLICE DEPARTMENT,916 NORTH FORBES STREET,LOCAL POLICE DEPARTMENT
1001691,GUSTINE POLICE DEPARTMENT,682 3RD AVENUE,LOCAL POLICE DEPARTMENT
1001867,MILLBRAE POLICE DEPARTMENT,581 MAGNOLIA AVENUE,LOCAL POLICE DEPARTMENT
1002282,SOUTH LAKE TAHOE POLICE DEPARTMENT,1352 JOHNSON BOULEVARD,LOCAL POLICE DEPARTMENT
1001407,ALAMEDA POLICE DEPARTMENT / ALAMEDA CITY JAIL,1555 OAK STREET,LOCAL POLICE DEPARTMENT
1002278,SONORA POLICE DEPARTMENT,100 SOUTH GREEN STREET,LOCAL POLICE DEPARTMENT
1002335,TULARE POLICE DEPARTMENT,260 SOUTH M STREET,LOCAL POLICE DEPARTMENT
1001580,DALY CITY POLICE DEPARTMENT,333 90TH STREET,LOCAL POLICE DEPARTMENT
1002260,SEAL BEACH POLICE DEPARTMENT,911 SEAL BEACH BOULEVARD,LOCAL POLICE DEPARTMENT
1001462,BEAUMONT POLICE DEPARTMENT,660 ORANGE AVENUE,LOCAL POLICE DEPARTMENT
1002379,WEED POLICE DEPARTMENT,550 MAIN STREET,LOCAL POLICE DEPARTMENT
1001483,BRENTWOOD POLICE DEPARTMENT,9100 BRENTWOOD BOULEVARD,LOCAL POLICE DEPARTMENT
1001553,CONCORD POLICE DEPARTMENT,1350 GALINDO STREET,LOCAL POLICE DEPARTMENT
1001668,FULLERTON POLICE DEPARTMENT,237 WEST COMMONWEALTH AVENUE,LOCAL POLICE DEPARTMENT
1002054,RIPON POLICE DEPARTMENT,259 NORTH WILMA AVENUE,LOCAL POLICE DEPARTMENT
1002031,REDDING POLICE DEPARTMENT,1313 CALIFORNIA STREET,LOCAL POLICE DEPARTMENT
1002235,SANTA CLARA POLICE DEPARTMENT,601 EL CAMINO REAL,LOCAL POLICE DEPARTMENT
1001499,CALIFORNIA CITY POLICE DEPARTMENT,21130 HACIENDA BOULEVARD,LOCAL POLICE DEPARTMENT
1002197,SAN LEANDRO POLICE DEPARTMENT,901 EAST 14TH STREET,LOCAL POLICE DEPARTMENT
1001866,MILL VALLEY POLICE DEPARTMENT,1 HAMILTON DRIVE,LOCAL POLICE DEPARTMENT
1004727,FAYETTE CITY POLICE DEPARTMENT,11 SOUTH MAIN STREET,LOCAL POLICE DEPARTMENT
1004790,KINGSLEY POLICE DEPARTMENT,221 MAIN STREET,LOCAL POLICE DEPARTMENT
1004785,KANAWHA POLICE DEPARTMENT,121 NORTH MAIN STREET,LOCAL POLICE DEPARTMENT
1004911,LYON COUNTY SHERIFF / LYON COUNTY JAIL,410 SOUTH BOONE STREET,SHERIFF'S OFFICE
1004982,ALLAMAKEE COUNTY SHERIFFS OFFICE,110 ALLAMAKEE STREET,SHERIFF'S OFFICE
1004731,WINNEBAGO COUNTY SHERIFFS DEPARTMENT / WINNEBAGO COUNTY JAIL,216 SOUTH CLARK STREET,SHERIFF'S OFFICE
1001860,MOUNT SAN JACINTO COMMUNITY COLLEGE DISTRICT POLICE DEPARTMENT - MENIFEE VALLEY CAMPUS,"28237 LA PIEDRA ROAD, BUILDING 1800 ROOM 1804",SPECIAL JURISDICTION
1004665,POTTAWATTAMIE COUNTY SHERIFFS DEPARTMENT / POTTAWATTAMIE COUNTY JAIL,1400 BIG LAKE ROAD,SHERIFF'S OFFICE
1001218,DOUGLAS POLICE DEPARTMENT,300 EAST 14TH STREET,LOCAL POLICE DEPARTMENT
1001366,TOMBSTONE MARSHALS OFFICE,315 EAST FREMONT STREET,CONSTABLE/MARSHAL
1001193,BUCKEYE POLICE DEPARTMENT,"100 NORTH APACHE ROAD, SUITE D",LOCAL POLICE DEPARTMENT
1001283,ORO VALLEY POLICE DEPARTMENT - MAIN STATION,11000 NORTH LA CANADA DRIVE,LOCAL POLICE DEPARTMENT
1001213,COOLIDGE POLICE DEPARTMENT,911 SOUTH ARIZONA BOULEVARD,LOCAL POLICE DEPARTMENT
1001221,ELOY POLICE DEPARTMENT,630 NORTH MAIN STREET,LOCAL POLICE DEPARTMENT
1001352,UNITED STATES BUREAU OF INDIAN AFFAIRS - COCOPAH TRIBAL POLICE DEPARTMENT,WEST COUNTY 15TH STREET AND SOUTH AVENUE G,LOCAL POLICE DEPARTMENT
1001101,NEVADA COUNTY SHERIFFS OFFICE,215 EAST 3RD STREET NORTH,SHERIFF'S OFFICE
1003405,GLADES COUNTY SHERIFFS OFFICE / GLADES COUNTY JAIL,1297 STATE ROUTE 78,SHERIFF'S OFFICE
1003437,MARION COUNTY SHERIFFS DEPARTMENT - OPERATIONS CENTER,692 NORTHWEST 30TH AVENUE,SHERIFF'S OFFICE
1003633,LAKE COUNTY SHERIFFS OFFICE,360 WEST RUBY STREET,SHERIFF'S OFFICE
1003508,TAYLOR COUNTY SHERIFFS OFFICE,"108 NORTH JEFFERSON STREET, SUITE 103",SHERIFF'S OFFICE
1003648,INDIAN RIVER COUNTY SHERIFFS DEPARTMENT / INDIAN COUNTY DETENTION FACILITY,4055 41ST AVENUE,SHERIFF'S OFFICE
1003456,ORANGE COUNTY SHERIFFS OFFICE,2500 WEST COLONIAL DRIVE,SHERIFF'S OFFICE
1003092,FLAGLER COUNTY SHERIFFS OFFICE,1001 JUSTICE LANE,SHERIFF'S OFFICE
1003089,HERNANDO COUNTY SHERIFFS DEPARTMENT-HEADQUARTERS,18900 CORTEZ BOULEVARD,SHERIFF'S OFFICE
1003278,HENDRY COUNTY SHERIFFS DEPARTMENT / HENDRY COUNTY JAIL,101 SOUTH BRIDGE STREET,SHERIFF'S OFFICE
1003119,WAKULLA COUNTY SHERIFFS DEPARTMENT / WAKULLA COUNTY JAIL,15 OAK STREET,SHERIFF'S OFFICE
1003168,FRANKLIN COUNTY SHERIFFS DEPARTMENT / FRANKLIN COUNTY JAIL,270 STATE ROAD 65,SHERIFF'S OFFICE
